delta_v,p1_final,v1_final,p2_final,v2_final,p3_final,v3_final
1.0,[247.75279011   3.9268116  -10.0449171 ],[-8.50094672  1.18791264  3.55649962],[208.31570081   9.18616804  30.15874384],[ 3.15429227 -0.14874971 -0.90825422],[251.86960276   5.90028411  -8.4241902 ],[ 3.06412072 -0.29680441 -0.57999706]
0.1,[ -71.6306878  -175.37619906   65.23184698],[-3.3697082  -2.75425519  1.11390498],[255.19957189  44.19344721   4.81096932],[ 2.54111408 -0.23483374  1.55891804],[267.07514801  42.32976821 -16.61792854],[ 1.46249335  1.07464089 -1.41058035]
0.01,[224.88063698 -13.08780092 -24.51353439],[ 0.263576   -0.38883007 -0.14079785],[198.40040278  10.2449118   22.24982842],[ 3.48321439 -0.15535946 -0.84413174],[200.10418249  10.86599244   1.67129251],[-0.40666826  0.233183    0.60968711]
0.001,[182.54655679  65.88857603  60.63027881],[0.05921841 3.82494663 4.01246135],[238.37207991   4.49007906 -24.45512803],[ 2.01817127 -0.45285546 -2.1012151 ],[186.9677608  -11.62291138   4.42665908],[ 0.63514635 -0.97307857  0.06332295]
0.0001,[ 76.29614723   9.17137865 100.94403023],[-0.64013495 -0.13959991  1.54294474],[236.65197848   8.36877636 -15.18089234],[ 0.38955782 -2.08326197 -3.18066622],[223.47129857   4.69702287 -15.19408185],[1.95370644 1.43537462 1.60612923]
1e-05,[197.66289825   1.97172298  -9.98173614],[ 3.20276662 -0.16579272  1.00866324],[217.07442539   5.56616569   1.44334124],[ 0.19325839 -0.75677652 -3.64553544],[196.06141699   8.96531521  10.69835122],[0.80357553 0.55978192 2.09413588]
1e-06,[400.79575721   1.3601752  -92.95887124],[ 2.41471004 -0.20500691 -1.21101603],[ 311.86806251 -125.03980507 -130.85449183],[ 3.95190157 -2.82965142 -3.13473938],[ 65.15410592  96.23981165 126.55595163],[-1.43950406  1.95476992  2.49349826]
1e-07,[ 2.00258293e+02 -9.94602236e-02 -2.09512042e+01],[-1.99638317 -0.96789801 -0.81501594],[188.31774026  18.68559984  19.02949501],[ 2.77007787 -0.57711375  0.09336438],[214.36674877   0.90942018   2.63073805],[0.81874251 0.70737517 0.20942906]
1e-08,[258.23530896  39.61811271  58.86108515],[1.09894601 0.61127187 3.88306921],[ 61.56773456 -52.92488913 -89.98298921],[-1.28423406 -0.90709439 -1.36470239],[279.54107464  35.41055519  48.70163109],[ 2.48984071  0.4009723  -0.38455481]
1e-09,[246.5104931   22.74490611  18.8541537 ],[-1.39359974  2.5566888  -1.25142493],[130.70000097 -43.5040676  -43.99367341],[-0.94470735 -1.33912022 -0.99628491],[237.36116839  34.7544097   31.37773104],[3.09433814 0.04051721 1.08133158]
1e-10,[225.65774139  29.53524115  33.00260387],[1.48150101 0.70635511 4.25861123],[137.54319321 -28.0395722  -36.00740968],[-0.31563081 -0.59637461 -0.46191376],[239.7499574   22.18130108  21.33740516],[ 1.71658687  0.16213137 -1.11159457]
